ID,Wind speed in km/h,Water temperature in degrees Celsius,Waterfowl population,Wave Action,Turbidity of water (NTUs)
93,NA,NA,NA,None,NA
94,5,15.3,10,Low,NA
95,7,16.2,9,Low,1.7
96,11,16.2,6,Moderate,1.3
97,26,17.78,4,High,2.2
98,NA,13.7,50,Low,1.1
99,11,16,10,Low,1.4
100,11,17.6,6,Moderate,1.9
101,17,16.94,12,Low,1
102,9,17.4,15,Low,0.9
103,15,18.4,8,Moderate,1.3
104,6,17.6,15,Low,0.7
105,7,19.2,3,High,1.9
106,NA,16.2,15,Low,0.8
107,4,18.1,25,Moderate,4.5
108,5,18,75,Low,1
109,9,18.1,3,Moderate,0.9
110,15,22.4,80,Moderate,2.8
111,15,22.9,40,Low,1.5
112,15,21.8,30,High,0.9
113,15,22,5,High,0.5
114,15,21.4,20,High,4.5
115,15,21.1,3,High,2.7
116,19,21.6,50,Low,3.4
117,19,21.5,200,Low,1.6
118,19,21.9,65,Moderate,2.4
119,19,21.1,80,Low,1.4
120,10,22,120,Low,0.3
121,10,23,80,NA,1.8
122,10,22,75,Low,0.2
123,10,22,3,Low,0.5
124,10,22,300,Low,0.6
125,10,23,6,Low,0.6
126,10,24,45,Low,1.4
127,10,21,100,Low,1.2
128,10,21,30,Low,1.3
129,10,22,70,Low,1.5
130,13,16.6,115,NA,0.6
131,13,17.1,65,NA,0.2
132,13,13.9,200,Low,0.3
133,13,15.9,NA,Low,0.7
134,13,17,160,Low,0.6
135,13,18.4,24,NA,0.5
136,15,19.8,1,Low,0.3
137,15,18,50,Low,20
138,15,19,60,Low,0.5
139,15,22,55,Low,2.2
140,24,12.8,3,High,2.2
141,NA,16.3,50,Low,5.4
142,NA,17,24,Low,4.4
143,NA,18,16,Low,4.2
144,NA,18.7,26,NA,2.2
145,NA,19,8,Moderate,2.3
146,NA,18.3,10,Low,1.1
147,10,18.6,20,Low,4.8
148,NA,18.7,28,Moderate,1.8
149,20,NA,NA,None,NA
150,17,15.9,18,Low,2
151,17,16.2,32,Low,2
152,NA,15.9,40,Moderate,1.9
153,13,15.5,60,Low,14.5
154,NA,16.6,15,NA,1.7
155,NA,NA,NA,None,NA
156,5,15.2,100,Low,NA
157,7,16.5,130,Low,1.6
158,11,17.3,60,Moderate,1.2
159,26,16.83,130,Low,1.1
160,NA,14.9,30,Low,2.1
161,11,18,3,Low,1.9
162,11,18.6,8,Moderate,2.1
163,17,18.56,40,Low,1.4
164,9,18.4,50,Low,1.8
165,15,18.8,12,Low,1.5
166,6,18.17,60,Low,1
167,7,19.3,82,Moderate,1.2
168,NA,17.5,220,Low,6.7
169,4,18.9,75,Moderate,2.1
170,5,18.8,60,Low,8.4
171,9,18.3,200,High,1.6
172,24,13.2,105,High,1.8
173,24,15,200,High,6.2
174,22,13.4,120,Low,4
175,5,12.3,40,Low,7.8
176,9,14.6,27,Low,3
177,6,16.2,1000,Low,2.2
178,NA,18.7,4,Low,2.1
179,15,18.6,110,Low,1.9
180,5,19.6,85,Low,1.7
181,4,21.6,30,NA,1.5
182,7,18.9,220,NA,0.8
183,5,16.2,60,Low,1.5
184,5,19.5,60,Low,1.8
185,5,21.4,40,Low,1.1
186,5,22.1,NA,Low,0.7
187,15,22.2,60,Low,0.8
188,4,24.1,95,NA,0.4
189,27,23.6,36,Low,0.4
190,26,21.8,25,Low,3.7
191,9,18.4,40,Moderate,1.4
192,10,20,29,Low,0.6
193,5,17.5,9,Low,0.6
194,15,19.9,20,Low,0.6
195,9,17.7,36,Low,0.4
196,NA,19.3,9,Moderate,1
197,20,18.9,10,Moderate,0.8
198,5,19.6,2,Low,1.8
199,15,18.7,NA,Low,1.2
200,15,20,20,Low,2.1
201,17,21,NA,Moderate,2.1
202,11,16.2,NA,Low,1.7
203,11,17.3,1,Low,2
204,8,17.3,NA,Low,1.4
205,8,18.8,NA,Moderate,0.6
206,4,19.6,15,Low,0.5
207,24,11,10,High,3.1
208,22,12.4,6,Low,2.1
209,5,12.1,8,Low,3.2
210,9,12.8,13,Low,2.8
211,6,15,NA,Low,11.1
212,NA,17.6,NA,Low,2.3
213,15,15.8,32,Low,1.5
214,5,16.2,15,Low,1.8
215,4,17.5,5,Low,1.2
216,7,18.5,3,NA,0.5
217,5,16.2,60,Low,1.1
218,5,17,8,Low,0.8
219,5,20.5,10,Low,0.5
220,5,21.5,NA,Low,1.5
221,15,21.8,5,Low,1
222,4,23.3,12,NA,0.3
223,27,23.7,NA,Moderate,2.1
224,26,19.8,20,Moderate,3.8
225,9,15.9,NA,Moderate,4.8
226,10,20.5,6,Moderate,0.6
227,5,16.5,24,Low,0.5
228,15,19.7,NA,Low,0.1
229,9,16.4,6,Low,0.6
230,NA,17.9,NA,Low,1.5
231,20,17.9,4,Moderate,0.4
232,5,17.4,17,Low,0.5
233,15,18.2,20,Low,0.6
234,15,18.8,4,Low,1.3
235,17,19.9,25,Moderate,1.4
236,11,17.2,5,Low,1.2
237,11,16.4,NA,Low,0.6
238,8,19,NA,Low,1.4
239,8,18,25,Moderate,2.6
240,4,19.5,NA,Low,4.8
241,NA,NA,NA,None,NA
242,NA,17,24,NA,0.4
243,NA,15,60,Low,4.6
244,NA,NA,NA,None,NA
245,NA,15.6,42,Low,5.4
246,NA,17.1,30,Low,5.4
247,NA,17.5,200,Moderate,43
248,NA,17.6,120,Low,1.5
249,NA,19.2,150,Moderate,3.4
250,NA,17.5,20,Moderate,2.1
251,10,17.9,35,Low,1.8
252,NA,18.4,160,Moderate,1.4
253,20,NA,NA,None,NA
254,17,15.8,120,Low,2.2
255,17,15.2,160,Low,2
256,NA,15.3,3,High,2
257,13,15.4,NA,Low,1.8
258,NA,16.3,24,NA,1.3
259,NA,NA,NA,None,NA
260,5,15.3,7,Low,NA
261,7,16.4,130,Low,1.1
262,11,17,200,Moderate,1.1
263,26,17.38,90,High,1.1
264,NA,15.1,25,Low,2.1
265,11,16.5,20,Low,1.5
266,11,18.2,200,Moderate,1.7
267,17,17.56,60,Low,1.3
268,9,17.5,190,Low,1.3
269,15,18.5,22,Moderate,1
270,6,17.5,60,Low,1
271,7,18.7,50,Moderate,4.8
272,NA,16,35,Low,1.4
273,4,19.6,40,Moderate,2.1
274,5,17.5,25,Low,2.3
275,9,18.4,80,High,4.4
276,24,13,130,High,2
277,24,13,200,High,5.1
278,22,12.4,50,Low,1.9
279,5,12.4,30,Low,2.2
280,9,12.5,200,Moderate,2.9
281,6,14.5,240,Low,2.1
282,NA,18.1,10,Low,1.8
283,15,15.3,120,Low,1.9
284,5,16.1,120,Low,1.9
285,4,18.6,80,Low,1
286,7,16.3,60,NA,0.5
287,5,17.1,16,Low,1.1
288,5,17.8,50,Low,1.1
289,5,21.1,5,Low,0.4
290,5,22,NA,Low,0.5
291,15,22.1,NA,Low,0.6
292,4,23.5,120,NA,0.2
293,27,23.5,80,Low,2
294,26,19.7,30,Moderate,4.2
295,9,17.2,50,Moderate,1.9
296,10,21,50,Low,0.6
297,5,17.7,50,Low,0.5
298,15,19.8,80,Low,0.4
299,9,16.1,60,Low,0.5
300,NA,18.2,80,Moderate,1.8
301,20,17.6,15,Moderate,3.3
302,5,18.2,70,Low,0.7
303,15,19.2,15,Low,0.6
304,15,18.7,15,Low,1.2
305,17,19.6,200,Moderate,3.4
306,11,18.3,40,Low,1.2
307,11,16.5,72,Low,4
308,8,17.5,NA,Low,0.1
309,8,17.9,50,Moderate,2.6
310,4,19.4,NA,Low,1
311,NA,NA,NA,None,NA
312,NA,17,6,NA,NA
313,NA,16,25,Low,4.6
314,NA,NA,NA,None,NA
315,NA,16.5,25,Low,4.5
316,NA,NA,NA,None,NA
317,NA,17,60,NA,3.7
318,NA,19,75,NA,4.5
319,NA,17.3,2,Low,NA
320,NA,16.9,20,Low,3.9
321,NA,18,10,Low,5.1
322,NA,15,80,NA,4.6
323,NA,17.5,60,Low,2.5
324,NA,18.2,200,NA,3.4
325,NA,18.3,160,NA,2
326,NA,18.1,30,Low,1.6
327,10,NA,30,Low,3.27
328,NA,19.5,80,Low,2.1
329,20,13.5,59,Low,3.1
330,17,14.5,40,NA,2.7
331,17,14.5,85,NA,2
332,NA,15.1,50,Low,2.4
333,13,15.09,15,Low,1.9
334,NA,17.5,54,NA,1.5
335,NA,NA,NA,Low,NA
336,5,16.1,100,Low,NA
337,7,17.3,150,NA,2
338,11,16.3,110,Low,1.8
339,26,17.11,73,Low,1.1
340,NA,13.7,15,Low,1.7
341,11,20.7,20,Low,1
342,11,17.4,73,NA,1.5
343,17,18.39,90,NA,2.1
344,9,15.4,160,NA,1.6
345,15,17.9,NA,Low,1.2
346,6,19.8,30,Low,1.4
347,7,19.2,90,Low,2.8
348,NA,14.53,10,Low,1.2
349,4,13.3,125,Moderate,9.5
350,5,18.4,10,Low,6.2
351,9,19.1,120,Low,8.8
352,24,12,60,Low,4
353,24,9,45,Low,3
354,22,9.2,60,NA,1.6
355,5,16,7,Low,4.4
356,9,13.5,36,NA,1.2
357,6,15.2,80,NA,2.1
358,NA,NA,12,Low,5.2
359,15,20.2,60,Low,1.5
360,5,26.3,40,Low,1.1
361,4,21.2,130,NA,1.3
362,7,21.1,100,NA,0.6
363,5,16,70,Low,0.8
364,5,17.6,79,Low,1.1
365,5,20.5,NA,Low,2.1
366,5,21.6,60,Low,2.8
367,15,21.8,20,Low,1.2
368,4,23.5,180,NA,1.8
369,27,24.1,60,Low,0.7
370,26,18.4,40,Low,2.2
371,9,17,20,Low,1.3
372,10,18.2,70,Low,1
373,5,16,60,Low,0.6
374,15,19.6,2,Low,0.6
375,9,16.8,95,Low,0.7
376,NA,17.3,60,NA,3.4
377,20,18.6,60,Low,5.8
378,5,18.3,30,Low,1.7
379,15,16.8,10,Low,0.6
380,15,18.8,10,Low,1.3
381,17,21.4,15,Low,1.4
382,11,17.7,15,Low,0.7
383,11,15,170,NA,1.5
384,8,17.1,20,Low,0.1
385,8,19,25,Moderate,0.6
386,4,19.9,20,Low,1.1
387,NA,NA,NA,None,NA
388,NA,16,75,NA,0.4
389,NA,15,30,Low,4.8
390,NA,17.3,10,Low,NA
391,NA,14.7,2,Low,5
392,NA,17,25,Low,4.2
393,NA,15,60,Low,4.3
394,NA,17.9,5,Moderate,3.6
395,NA,17.7,50,NA,2.4
396,NA,18.4,15,Moderate,2.9
397,NA,17.1,50,Low,6.2
398,10,NA,45,Low,3.94
399,NA,19.2,62,Low,2.8
400,20,14,24,High,75
401,17,15.2,50,NA,4.6
402,17,14.8,57,Low,2
403,NA,16.1,4,Moderate,230
404,13,15.4,10,Low,4.8
405,NA,15.5,NA,NA,1.8
406,NA,NA,40,Low,NA
407,5,15.9,27,Low,NA
408,7,17.4,75,NA,1.4
409,11,16.2,16,Moderate,1.8
410,26,16.16,NA,High,NA
411,NA,15.5,NA,Low,3.1
412,11,183,17,Low,3.7
413,11,16.9,130,Low,2.4
414,17,19.2,200,NA,2.3
415,9,17.7,80,NA,0.7
416,15,17.1,9,Moderate,0.4
417,6,18.6,60,Low,7.7
418,7,17.2,60,Moderate,0.7
419,NA,15.6,86,Low,0.5
420,4,17.3,15,Moderate,2.2
421,5,17.1,100,Low,3.5
422,9,18.5,100,Low,7.4
423,24,11,80,Low,1.1
424,24,14,90,Low,0.8
425,22,9.1,200,NA,2.2
426,5,10.2,150,Low,3.2
427,9,14.5,200,Low,1.8
428,6,10.3,170,NA,1.1
429,NA,NA,56,Low,3.1
430,15,19.7,60,Low,0.2
431,5,16.36,160,Low,2.6
432,4,20.4,300,NA,0.7
433,7,20.7,300,NA,1.8
434,5,17.6,150,Low,0.7
435,5,18,150,Low,30
436,5,20.3,75,Low,12.5
437,5,22.4,70,Low,5.6
438,15,21.8,100,Low,1.2
439,4,25,160,NA,0.9
440,27,24.1,60,Low,0.7
441,26,17,150,Low,0.8
442,9,15.1,60,Low,1.1
443,10,17.8,150,Low,0.3
444,5,18.3,100,Low,0.1
445,15,19.5,100,Low,0.6
446,9,13.7,82,NA,0.1
447,NA,15.2,75,High,200
448,20,19.8,156,Moderate,8.8
449,5,17,150,Low,8
450,15,18.1,15,Low,1.8
451,15,19.1,NA,Low,1.9
452,17,21.2,100,Low,25.3
453,11,14,15,Low,0.8
454,11,16.8,260,NA,0.4
455,8,17.2,75,Low,1.4
456,8,18.8,NA,Moderate,5.7
457,4,20.1,75,Low,1.3
458,NA,NA,NA,None,NA
459,NA,14,30,NA,0.2
460,NA,16,36,Low,5
461,NA,NA,NA,None,NA
462,NA,15.2,10,Low,5.2
463,NA,16.2,NA,Low,5.4
464,NA,17,12,NA,5.5
465,NA,15.9,8,Low,4.3
466,15,23,29,Low,6
467,10,19.8,12,Low,1.8
468,NA,22,9,Low,0.5
469,17,19.6,25,Low,0.8
470,10,22,18,Low,1.7
471,5,19.6,9,Moderate,3.3
472,20,20.6,8,Low,1.6
473,17,19.5,15,Low,2.5
474,4,20.6,30,Low,3
475,17,21,15,Low,3.2
476,18,20.4,30,Low,2.9
477,13,18.8,25,Low,2.3
478,8,17,NA,Low,1.4
479,8,19,25,Moderate,1.5
480,10,20,NA,Low,1.4
481,22,18.3,7,Low,10.5
482,22,16.7,12,Low,0.4
483,22,17.9,25,Moderate,0.4
484,22,18.3,NA,High,0.8
485,22,18.8,10,High,4.4
486,22,20.5,NA,High,1.8
487,10,20.5,6,High,1
488,10,16.3,220,Low,4.6
489,10,18,35,Moderate,4.4
490,10,14.4,90,Moderate,4.1
491,NA,NA,NA,None,NA
492,NA,NA,NA,None,NA
493,NA,NA,NA,None,NA
494,NA,NA,NA,None,NA
495,NA,NA,NA,None,NA
496,NA,NA,NA,None,NA
497,NA,NA,NA,None,NA
498,NA,NA,NA,None,NA
499,NA,NA,NA,None,NA
500,NA,NA,NA,None,NA
501,NA,NA,NA,None,NA
502,NA,NA,NA,None,NA
503,NA,NA,NA,None,NA
504,NA,NA,NA,None,NA
505,NA,NA,NA,None,NA
506,NA,NA,NA,None,NA
507,NA,NA,NA,None,NA
508,NA,NA,NA,None,NA
509,NA,NA,NA,None,NA
510,NA,NA,NA,None,NA
511,NA,NA,NA,None,NA
512,NA,NA,NA,None,NA
513,NA,NA,NA,None,NA
514,NA,NA,NA,None,NA
515,NA,NA,NA,None,NA
516,NA,NA,NA,None,NA
517,NA,NA,NA,None,NA
518,NA,NA,NA,None,NA
519,NA,NA,NA,None,NA
520,NA,NA,NA,None,NA
521,NA,NA,NA,None,NA
522,NA,NA,10,Low,NA
523,NA,NA,NA,None,NA
524,NA,NA,NA,None,NA
525,NA,NA,NA,None,NA
526,NA,19,120,Moderate,NA
527,NA,17,40,Moderate,NA
528,NA,18,20,Low,NA
529,NA,NA,NA,None,NA
530,NA,60.5,45,NA,NA
531,NA,17.5,85,NA,NA
532,NA,18,30,Moderate,NA
533,NA,65,72,Low,NA
534,NA,NA,NA,None,NA
535,NA,20.2,NA,Low,NA
536,NA,21,25,Low,NA
537,NA,NA,NA,None,NA
538,NA,NA,NA,None,NA
539,NA,23,10,Moderate,NA
540,NA,25,NA,High,NA
541,NA,21.9,2,Low,NA
542,NA,21.8,NA,Moderate,NA
543,NA,NA,NA,None,NA
544,NA,19.7,5,Low,NA
545,NA,18.9,10,Moderate,NA
546,NA,19.7,NA,Low,NA
547,NA,17.8,3,High,NA
548,NA,20.5,15,Low,NA
549,NA,NA,NA,None,NA
550,NA,NA,NA,None,NA
551,NA,9.3,50,Low,NA
552,NA,19,30,Moderate,NA
553,NA,18.6,NA,Low,NA
554,NA,19.7,15,Low,NA
555,NA,18.7,13,Low,NA
556,NA,NA,NA,None,NA
557,NA,NA,NA,None,NA
558,NA,NA,NA,None,NA
559,NA,NA,NA,None,NA
560,NA,NA,NA,None,NA
561,NA,NA,NA,None,NA
562,NA,10.5,5,Moderate,NA
563,24,NA,NA,None,NA
564,NA,9.2,5,Moderate,NA
565,NA,NA,NA,None,NA
566,NA,NA,NA,None,NA
567,NA,9.8,20,Moderate,NA
568,NA,NA,NA,None,NA
569,NA,9.8,10,Low,NA
570,NA,9.7,NA,Low,NA
571,NA,10.6,12,Low,NA
572,NA,10.6,NA,Low,NA
573,NA,12.8,42,Moderate,NA
574,NA,NA,NA,None,NA
575,NA,NA,NA,None,NA
576,9,15.5,2,NA,0.3
577,9,12.4,100,Low,NA
578,9,12.2,20,Low,0.5
579,9,17.8,NA,Low,0.4
580,9,17.9,30,Low,0.7
581,9,19.5,10,Low,0.6
582,9,18.2,12,Low,0.4
583,9,19.5,70,Low,1.5
584,9,18.2,95,Low,1.7
585,9,17.2,45,Low,1.4
586,NA,NA,NA,None,NA
587,NA,11.1,45,NA,NA
588,24,6,28,Low,NA
589,NA,10.6,5,Low,3.1
590,NA,10.8,100,Low,3.5
591,NA,10.6,60,Low,3.6
592,NA,10.2,76,Low,3.7
593,NA,NA,NA,None,NA
594,NA,9,160,NA,NA
595,NA,9.5,116,None,2.9
596,NA,10.8,65,Low,2.6
597,NA,12,300,Low,2.7
598,NA,12,150,Low,3.3
599,NA,NA,NA,None,NA
600,NA,NA,NA,None,NA
601,NA,12.3,37,Moderate,2.1
602,NA,12.8,100,Low,4.2
603,NA,12.4,260,NA,3.5
604,NA,14.9,31,Low,3.1
605,NA,14.3,175,Low,2.2
606,NA,13.5,115,Low,NA
607,NA,14.6,200,NA,NA
608,5,16.5,50,Low,2.5
609,NA,16.6,45,Low,2.5
610,NA,16,160,Low,2.6
611,NA,NA,NA,None,NA
612,NA,NA,NA,None,NA
613,NA,NA,NA,None,NA
614,NA,17.3,200,Low,2.2
615,NA,NA,NA,None,NA
616,NA,NA,NA,None,NA
617,NA,NA,NA,None,NA
618,NA,NA,NA,None,NA
619,NA,NA,NA,None,NA
620,NA,NA,NA,None,NA
621,NA,NA,NA,None,NA
622,NA,NA,NA,None,NA
623,NA,NA,NA,None,NA
624,NA,NA,NA,None,NA
625,NA,NA,NA,None,NA
626,NA,NA,NA,None,NA
627,NA,NA,NA,None,NA
628,NA,NA,NA,None,NA
629,NA,NA,NA,None,NA
630,NA,NA,NA,None,NA
631,NA,NA,NA,None,NA
632,NA,NA,NA,None,NA
633,NA,NA,NA,None,NA
634,NA,NA,NA,None,NA
635,NA,NA,NA,None,NA
636,NA,NA,NA,None,NA
637,NA,NA,NA,None,NA
638,NA,NA,NA,None,NA
639,NA,NA,NA,None,NA
640,NA,NA,NA,None,NA
641,NA,NA,NA,None,NA
642,NA,NA,NA,None,NA
643,NA,NA,NA,None,NA
644,NA,16.9,205,Low,1.3
645,NA,NA,NA,None,NA
646,NA,NA,NA,None,NA
647,NA,NA,NA,None,NA
648,NA,NA,NA,None,NA
649,NA,NA,NA,None,NA
650,NA,NA,NA,None,NA
651,NA,NA,NA,None,NA
652,NA,20,50,NA,NA
653,NA,17,110,Low,NA
654,NA,19,150,Low,NA
655,NA,NA,NA,None,NA
656,NA,NA,NA,None,NA
657,NA,NA,NA,None,NA
658,NA,21,100,Low,4.1
659,NA,19,30,Low,NA
660,NA,21,25,Low,1.3
661,NA,NA,NA,None,NA
662,NA,16.1,10,NA,NA
663,NA,16.3,60,NA,NA
664,NA,17.6,85,Low,NA
665,NA,19.9,62,Low,2
666,NA,NA,NA,Low,NA
667,NA,20.8,50,Low,4.2
668,NA,22.1,110,Low,2
669,NA,NA,NA,None,NA
670,NA,NA,NA,None,NA
671,NA,24.8,85,Low,1.7
672,NA,25.5,NA,High,1.1
673,NA,20,65,Low,1.6
674,NA,22.2,7,Moderate,1.8
675,NA,NA,NA,None,NA
676,NA,20.1,120,Low,3.1
677,NA,20.4,55,Low,3.5
678,NA,18,35,Low,1.4
679,NA,18.4,75,High,1.5
680,NA,20,60,NA,2.3
681,NA,17.6,65,Low,1.3
682,NA,NA,NA,None,3.2
683,NA,19.4,NA,NA,4.6
684,NA,19,34,NA,2.8
685,NA,18,35,Low,2.3
686,NA,18.4,48,Low,2
687,NA,19.3,45,Low,1.9
688,NA,19.5,110,Low,1.8
689,NA,NA,NA,None,NA
690,NA,NA,NA,None,NA
691,NA,NA,NA,None,NA
692,NA,NA,NA,None,NA
693,NA,NA,NA,None,NA
694,NA,11.1,15,Low,NA
695,24,7,32,Moderate,NA
696,NA,NA,NA,None,NA
697,NA,9.8,30,Moderate,NA
698,NA,12.1,15,Low,NA
699,NA,9.8,45,Moderate,NA
700,NA,NA,NA,None,NA
701,NA,9.2,25,Low,NA
702,NA,9,45,Low,NA
703,NA,11.2,35,Low,NA
704,NA,10.9,100,Low,NA
705,NA,11,NA,Low,NA
706,NA,NA,NA,None,NA
707,NA,NA,NA,None,NA
708,NA,12.5,7,High,NA
709,NA,13,20,Moderate,NA
710,NA,13.1,40,Low,NA
711,NA,14.9,105,Low,NA
712,NA,13.4,21,Low,NA
713,NA,13.2,125,Low,NA
714,NA,13.8,36,NA,NA
715,5,16.1,30,Low,NA
716,NA,16.6,100,Moderate,NA
717,NA,15.2,45,High,NA
718,NA,NA,NA,None,NA
719,NA,NA,NA,None,NA
720,NA,NA,NA,None,NA
721,NA,16.2,140,Low,NA
722,NA,NA,NA,None,NA
723,NA,NA,NA,None,NA
724,NA,NA,NA,None,NA
725,NA,NA,NA,None,NA
726,NA,NA,NA,None,NA
727,NA,NA,NA,None,NA
728,NA,NA,NA,None,NA
729,NA,NA,NA,None,NA
730,NA,NA,NA,None,NA
731,NA,NA,NA,None,NA
732,NA,NA,NA,None,NA
733,NA,NA,NA,None,NA
734,NA,NA,NA,None,NA
735,NA,NA,NA,None,NA
736,NA,NA,NA,None,NA
737,NA,NA,NA,None,NA
738,NA,NA,NA,None,NA
739,NA,NA,NA,None,NA
740,NA,NA,NA,None,NA
741,NA,NA,NA,None,NA
742,NA,NA,NA,None,NA
743,NA,NA,NA,None,NA
744,NA,NA,NA,None,NA
745,NA,NA,NA,None,NA
746,NA,NA,NA,None,NA
747,NA,NA,NA,None,NA
748,NA,NA,NA,None,NA
749,NA,NA,NA,None,NA
750,NA,NA,NA,None,NA
751,NA,NA,NA,None,NA
752,NA,NA,NA,None,NA
753,NA,NA,NA,None,NA
754,NA,NA,NA,None,NA
755,NA,NA,NA,None,NA
756,NA,NA,NA,None,NA
757,NA,NA,NA,None,NA
758,NA,NA,NA,None,NA
759,NA,NA,NA,None,NA
760,NA,NA,NA,None,NA
761,NA,17,67,NA,NA
762,NA,NA,NA,None,NA
763,NA,NA,NA,None,NA
764,NA,NA,NA,None,NA
765,NA,18,5,Moderate,3.3
766,NA,18,20,Moderate,NA
767,NA,19,12,Low,NA
768,NA,NA,NA,None,NA
769,4,NA,NA,None,NA
770,4,NA,NA,None,NA
771,4,NA,NA,None,NA
772,4,NA,NA,None,NA
773,4,NA,NA,None,NA
774,4,NA,NA,None,NA
775,4,20.6,30,Low,2
776,4,14.9,70,Low,1.7
777,4,14.9,50,Low,4
778,4,14,NA,Low,1.5
779,NA,16.2,35,NA,NA
780,NA,17.1,NA,NA,NA
781,NA,14.7,NA,None,NA
782,NA,18.1,45,Moderate,NA
783,NA,NA,28,Low,NA
784,NA,20.2,NA,Low,NA
785,NA,21.6,30,Low,NA
786,NA,NA,NA,None,NA
787,NA,NA,NA,None,NA
788,NA,22.7,40,Moderate,NA
789,NA,25.5,NA,Moderate,NA
790,NA,19.1,2,Low,NA
791,NA,22,10,Moderate,NA
792,NA,NA,NA,None,NA
793,NA,19.8,45,Low,NA
794,NA,19.4,30,Low,NA
795,NA,19.6,48,Low,NA
796,NA,17.9,25,High,NA
797,NA,22.3,5,Low,NA
798,NA,NA,NA,None,NA
799,NA,NA,NA,None,NA
800,NA,NA,NA,NA,NA
801,NA,NA,8,NA,NA
802,NA,18.9,10,Low,NA
803,NA,19.2,25,Low,NA
804,NA,18.3,5,Low,NA
805,NA,19.2,10,Low,NA
806,NA,NA,NA,None,NA
807,NA,NA,NA,None,NA
808,NA,NA,NA,None,NA
809,NA,NA,NA,None,NA
810,NA,NA,NA,None,NA
811,NA,8.5,10,Low,NA
812,24,NA,NA,None,NA
813,NA,9.1,10,Low,NA
814,NA,NA,NA,None,NA
815,NA,NA,NA,None,NA
816,NA,9.8,45,Moderate,NA
817,NA,NA,NA,None,NA
818,NA,8.3,10,NA,NA
819,NA,9.3,6,Low,NA
820,NA,9.8,22,Low,NA
821,NA,9.9,NA,Low,NA
822,NA,12,NA,Low,NA
823,NA,NA,NA,None,NA
824,NA,NA,NA,None,NA
825,NA,12,NA,Moderate,NA
826,NA,12.6,NA,Moderate,NA
827,NA,12,NA,Low,NA
828,NA,13.4,12,Low,NA
